epoch,l_wl,l_cong,l_dh,l_ds,loss,proxy,w_wl,w_dh,w_ds,w_cong,delta_proxy,adapt_step
177,0.05232453346,1.438351512,0.6061138511,0,1.074557185,,1,0.5,0,0.5,,
178,0.05232616514,1.438807607,0.6056792736,0,1.074569583,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=179 sur_raw(wl,dh,cong)=(0.0523292,0.604837,1.4376) px_raw(wl,den,cong)=(0.0646497,0.604837,1.19106) pv=0.962599 sur_n=1.0001/0.7449/0.9425 px_n=1.0089/0.7449/1.0488 gap_n(sur-px)=-0.0088/+0.0000/-0.1062 max_abs_gap=congestion(0.1062)
179,0.05232765526,1.438531995,0.6052453518,0,1.074216366,0.9625987387,1,0.5,0,0.5,,
180,0.05232924968,1.437601686,0.60483706,0,1.073548555,,1,0.5,0,0.5,,
181,0.05233088881,1.438928008,0.6044177413,0,1.074003696,,1,0.5,0,0.5,,
182,0.05233260244,1.437023044,0.6040139794,0,1.072851181,,1,0.5,0,0.5,,
183,0.05233429,1.437160015,0.6036273241,0,1.072727919,,1,0.5,0,0.5,,
184,0.0523359552,1.439352632,0.6031987667,0,1.073611617,,1,0.5,0,0.5,,
185,0.05233758688,1.439036369,0.6027636528,0,1.073237658,,1,0.5,0,0.5,,
186,0.05233928934,1.438826561,0.602338016,0,1.072921515,,1,0.5,0,0.5,,
187,0.05234107748,1.438848138,0.6019391418,0,1.072734714,,1,0.5,0,0.5,,
188,0.05234289169,1.438621879,0.6015287042,0,1.072418213,,1,0.5,0,0.5,,
189,0.05234476179,1.437506676,0.6011244059,0,1.07166028,,1,0.5,0,0.5,,
190,0.05234658718,1.437285185,0.6007353067,0,1.071356773,,1,0.5,0,0.5,,
191,0.0523483716,1.436996341,0.6003172398,0,1.071005106,,1,0.5,0,0.5,,
192,0.05235010013,1.436772585,0.5998886228,0,1.070680737,,1,0.5,0,0.5,,
193,0.05235195905,1.43561852,0.5994745493,0,1.069898486,,1,0.5,0,0.5,,
194,0.05235376582,1.435328245,0.5990912318,0,1.069563508,,1,0.5,0,0.5,,
195,0.05235555768,1.435456038,0.5986948013,0,1.069430947,,1,0.5,0,0.5,,
196,0.05235737562,1.435118914,0.5983076692,0,1.069070697,,1,0.5,0,0.5,,
197,0.05235921964,1.436538219,0.5979180336,0,1.06958735,,1,0.5,0,0.5,,
198,0.0523609966,1.438155413,0.5975388288,0,1.070208073,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=199 sur_raw(wl,dh,cong)=(0.0523645,0.596803,1.43569) px_raw(wl,den,cong)=(0.0647318,0.596803,1.19294) pv=0.959604 sur_n=1.0007/0.7350/0.9413 px_n=1.0102/0.7350/1.0504 gap_n(sur-px)=-0.0094/+0.0000/-0.1091 max_abs_gap=congestion(0.1091)
199,0.05236278847,1.437555432,0.5971530676,0,1.06971705,0.9596042395,1,0.5,0,0.5,,
200,0.05236452818,1.435691953,0.5968034863,0,1.068612218,,1,0.5,0,0.5,,
201,0.05236641318,1.43284297,0.5964277387,0,1.06700182,,1,0.5,0,0.5,,
202,0.05236817151,1.432603121,0.59607023,0,1.066704869,,1,0.5,0,0.5,,
203,0.05236993358,1.432277203,0.5957068205,0,1.066361904,,1,0.5,0,0.5,,
204,0.05237169936,1.431700706,0.5953674316,0,1.065905809,,1,0.5,0,0.5,,
205,0.05237331241,1.431440949,0.5950118303,0,1.06559968,,1,0.5,0,0.5,,
206,0.05237475038,1.431225777,0.5946685672,0,1.065321922,,1,0.5,0,0.5,,
207,0.0523760654,1.430933356,0.5943322182,0,1.065008879,,1,0.5,0,0.5,,
208,0.05237741023,1.431218863,0.5940101147,0,1.064991951,,1,0.5,0,0.5,,
209,0.05237873644,1.430951834,0.5936948657,0,1.064702034,,1,0.5,0,0.5,,
210,0.05238001794,1.430490851,0.5933862329,0,1.064318538,,1,0.5,0,0.5,,
211,0.05238138512,1.430256367,0.593056798,0,1.064038038,,1,0.5,0,0.5,,
212,0.05238294229,1.429997206,0.592718184,0,1.063740611,,1,0.5,0,0.5,,
213,0.05238459632,1.429733396,0.5924137831,0,1.063458204,,1,0.5,0,0.5,,
214,0.05238614231,1.429441333,0.59210217,0,1.063157916,,1,0.5,0,0.5,,
215,0.0523876138,1.429419518,0.5917870998,0,1.062990904,,1,0.5,0,0.5,,
216,0.05238895863,1.428888083,0.5914739966,0,1.062569976,,1,0.5,0,0.5,,
217,0.05239032209,1.428679705,0.5911802053,0,1.062320232,,1,0.5,0,0.5,,
218,0.05239168555,1.428441286,0.5908395648,0,1.062032104,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=219 sur_raw(wl,dh,cong)=(0.052395,0.59025,1.42709) px_raw(wl,den,cong)=(0.0648062,0.59025,1.19074) pv=0.955304 sur_n=1.0013/0.7269/0.9357 px_n=1.0113/0.7269/1.0485 gap_n(sur-px)=-0.0100/+0.0000/-0.1128 max_abs_gap=congestion(0.1128)
219,0.05239320546,1.427256227,0.590519011,0,1.061280847,0.955303611,1,0.5,0,0.5,,
220,0.05239497498,1.427085757,0.5902503729,0,1.061063051,,1,0.5,0,0.5,,
221,0.05239691958,1.426947832,0.589961946,0,1.060851812,,1,0.5,0,0.5,,
222,0.05239878222,1.426700473,0.5896561742,0,1.060577154,,1,0.5,0,0.5,,
223,0.05240057036,1.426456451,0.5893535018,0,1.060305595,,1,0.5,0,0.5,,
224,0.05240221694,1.426255941,0.5890165567,0,1.060038447,,1,0.5,0,0.5,,
225,0.05240380391,1.426316023,0.5887126327,0,1.059918165,,1,0.5,0,0.5,,
226,0.05240541324,1.426160932,0.588419199,0,1.059695482,,1,0.5,0,0.5,,
227,0.05240696296,1.425884724,0.5881500244,0,1.0594244,,1,0.5,0,0.5,,
228,0.05240852758,1.425649047,0.5878808498,0,1.059173465,,1,0.5,0,0.5,,
229,0.0524100475,1.42540133,0.5875871778,0,1.05890429,,1,0.5,0,0.5,,
230,0.05241153762,1.422586679,0.5872827768,0,1.057346225,,1,0.5,0,0.5,,
231,0.05241295323,1.422499776,0.5869817138,0,1.057153702,,1,0.5,0,0.5,,
232,0.05241441354,1.422260284,0.586692214,0,1.056890726,,1,0.5,0,0.5,,
233,0.05241594091,1.422079325,0.586414516,0,1.056662798,,1,0.5,0,0.5,,
